epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1444.14,1.78118,2.49579,1.79053,0.35726,0.32776,0.28633,0.14063,1.9535,2.38473,2.11052,0.00066416,0.00066416,0.00066416
2,2862.08,1.83929,2.23584,1.85345,0.03103,0.38127,0.02055,0.00847,2.46401,58.9978,2.90346,0.00106732,0.00106732,0.00106732
3,4298.36,1.81986,2.17538,1.77917,0.2654,0.26756,0.21889,0.09428,1.92141,2.57054,2.0048,0.00120649,0.00120649,0.00120649
4,5729.62,1.74357,1.9704,1.76273,0.50505,0.46755,0.45491,0.23571,1.67954,1.99271,1.76462,0.000812,0.000812,0.000812
5,7190.19,1.6103,1.74772,1.63097,0.57067,0.54681,0.59255,0.31407,1.53696,1.68816,1.65128,0.000416,0.000416,0.000416
